id,value
root-kepler186f.郑建发.保定京津医院,1
root-kepler186f.郑建发.保定世纪协和医院,1
root-kepler186f.郑建发.保定长安医院,1
root-kepler186f.郑建发.洛阳牡丹女子医院,1
root-kepler186f.郑建发.平顶山市武警医院,1
root-kepler186f.郑建发.福州左海医院,1
root-kepler186f.中健公司,
root-kepler186f.中健公司.北京玛丽妇婴医院,1
root-kepler186f.中健公司.济南妇科医院,1
root-kepler186f.中健公司.山东红十字会医院,1
root-kepler186f.中健公司.合肥市中山医院,1
root-kepler186f.中健公司.北京麦瑞骨科医院,1
root-kepler186f.中健公司.济南骨科医院,1
root-kepler186f.加拿大凤凰医院管理公司,
root-kepler186f.加拿大凤凰医院管理公司.北京健宫医院,1
root-kepler186f.加拿大凤凰医院管理公司.大连新世纪医院,1
root-kepler186f.加拿大凤凰医院管理公司.吉林创作医院,1
root-kepler186f.加拿大凤凰医院管理公司.无锡新区医院,1
root-kepler186f.加拿大凤凰医院管理公司.深圳凤凰医院,1
root-kepler186f.香港康联医疗（国际）投资集团,
root-kepler186f.香港康联医疗（国际）投资集团.博爱泌尿专科医院,1
root-kepler186f.林玉盛-福建誉盛投资公司,
root-kepler186f.林玉盛-福建誉盛投资公司.成都养和堂综合门诊部,1
root-kepler186f.林玉盛-福建誉盛投资公司.成都中仁泌尿外科医院,1
root-kepler186f.林玉盛-福建誉盛投资公司.凉山妇产医院,1
root-kepler186f.林玉盛-福建誉盛投资公司.凉山华西医院,1
root-kepler186f.林玉盛-福建誉盛投资公司.凉山生殖健康医院,1
root-kepler186f.林玉盛-福建誉盛投资公司.凉山骨科医院,1
root-kepler186f.林玉盛-福建誉盛投资公司.凉山男科医院,1
root-kepler186f.林玉盛-福建誉盛投资公司.四川中医药高等专科学校附属医院,1
root-kepler186f.香港济丰集团,
root-kepler186f.香港济丰集团.洛阳牡丹女子医院,1
root-kepler186f.湖南年轮医疗集团,
root-kepler186f.湖南年轮医疗集团.长沙阳光医院,1
root-kepler186f.湖南年轮医疗集团.长沙仁爱医院,1
root-kepler186f.湖南年轮医疗集团.长沙恒生手外科医院,1
root-kepler186f.湖南年轮医疗集团.长沙博大泌尿专科医院,1
root-kepler186f.湖南年轮医疗集团.长沙南方骨外科医院,1
root-kepler186f.友康集团,
root-kepler186f.友康集团.信阳泌尿外科医院,1
root-kepler186f.友康集团.郑州华夏白癜风医院,1
root-kepler186f.友康集团.许昌新时代妇科医院,1
root-kepler186f.友康集团.九江玛丽亚医院,1
root-kepler186f.友康集团.九江新世纪医院,1
root-kepler186f.友康集团.赣州现代泌尿专科医院,1
root-kepler186f.友康集团.漯河东方医院,1
root-kepler186f.友康集团.黄冈泌尿专科医院,1
root-kepler186f.友康集团.萍乡市新世纪泌尿专科医院,1
root-kepler186f.友康集团.莆田丽人妇科医院,1
root-kepler186f.友康集团.萍乡妇科医院,1
root-kepler186f.苏其远苏其林,
root-kepler186f.苏其远苏其林.江门玛丽妇科医院,1
root-kepler186f.苏其远苏其林.佛山三水女子医院,1
root-kepler186f.苏其远苏其林.深圳健丰医院,1
root-kepler186f.苏其远苏其林.广州济慈医院,1
root-kepler186f.苏其远苏其林.广东民安医院,1
root-kepler186f.苏其远苏其林.广州长泰医院,1
root-kepler186f.苏其远苏其林.顺德广济中医院,1
root-kepler186f.苏其远苏其林.广州健安医院,1
root-kepler186f.苏其远苏其林.塘厦康桥医院,1
root-kepler186f.苏其远苏其林.中山和平中医院,1
root-kepler186f.苏其远苏其林.东莞康桥妇科医院,1
root-kepler186f.苏其远苏其林.惠州东江泌尿专科医院,1
root-kepler186f.苏其远苏其林.深圳龙济医院,1
root-kepler186f.苏其远苏其林.东莞乌沙医院,1
root-kepler186f.苏其远苏其林.顺德新世纪泌尿医院,1
root-kepler186f.苏其远苏其林.东莞万福妇产医院,1
root-kepler186f.苏其远苏其林.顺德庄头医院,1
